192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.000971
192.168.42.213, 2019-01-27 15:47:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
192.168.42.213, 2019-01-27 15:47:46, POST, /admin/default/index, HTTP/1.1, 303, 0.037212
192.168.42.213, 2019-01-27 15:47:46, GET, /admin/default/site, HTTP/1.1, 200, 0.124320
192.168.42.213, 2019-01-27 15:47:46, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.000960
192.168.42.213, 2019-01-27 15:47:46, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.000973
192.168.42.213, 2019-01-27 15:47:47, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000771
192.168.42.213, 2019-01-27 15:47:47, GET, /favicon.ico, HTTP/1.1, 400, 0.002471
192.168.42.213, 2019-01-27 15:47:47, POST, /admin/default/check_version, HTTP/1.1, 200, 0.591175
192.168.42.213, 2019-01-27 15:47:51, POST, /admin/default/enable/examples, HTTP/1.1, 200, 0.073516
192.168.42.213, 2019-01-27 15:47:52, POST, /admin/default/enable/welcome, HTTP/1.1, 200, 0.014247
192.168.42.213, 2019-01-27 15:48:39, POST, /admin/default/site, HTTP/1.1, 303, 0.113450
192.168.42.213, 2019-01-27 15:48:39, GET, /admin/default/design/designer, HTTP/1.1, 200, 0.452191
192.168.42.213, 2019-01-27 15:48:39, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001228
192.168.42.213, 2019-01-27 15:48:39, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000755
192.168.42.213, 2019-01-27 15:48:40, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.000991
192.168.42.213, 2019-01-27 15:48:40, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000813
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/default/design/designer, HTTP/1.1, 200, 0.926177
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.001130
192.168.42.213, 2019-01-27 15:52:24, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.001634
